id,avg_count
41,1290.9195402298851
42,227.20516915928562
29,464.1346644877949
24,1005.271810947673
14,366.19285583011714
10,174.39953589264996
43,197.16320436250325
32,1046.5773236282196
39,196.76142714952914
15,753.4186735896303
31,327.84995708973014
36,278.96493212669685
22,1455.1845437345364
34,146.02400105499143
19,532.6174791392183
1,1034.2363503649635
33,132.4661954517517
8,134.51883367944757
37,185.2725542041248
44,100.24636363636364
18,347.64940485133803
4,1515.5627969445145
27,124.00146218871373
16,712.1861404725952
3,1193.4609460391127
13,729.0508672643194
28,896.5515304422336
25,465.22996694137913
26,529.0589509369997
21,568.6532104111375
7,322.39190789473685
20,368.14962743555327
23,277.16622134720853
2,1131.1987946778852
5,980.8190681290796
38,2462.6542798313562
40,286.815046700195
12,194.79029030785972
30,497.78765229855634
6,1062.6224770871938
9,423.3239678803359
17,455.5978374293836
11,108.38663795262183
